!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
avalanche	лавина (lavína) (f), обвал (obvál) (m)
avalanche	обвал (obvál) (m)
avarice	алчность (f)
avenue	бульвар (bul'var)
average	среднее (n)
aviation	авиация
avocado	авокадо (n) (does not change)
awful	ужасно
awl	шило (šílo) (n)
axe	топор (topór) (m)
axe	топор (topór) (m), секира (s'ekíra) (f)
axis	oсь  (f)
axis	oсь  (f)
axis of evil	ось зла (os' zla)
axolotl	аксолотль /aksólotl'/ (m)
aye	есть (jest’)
aye-aye	айе-айе (aje-aje)
azure	голубой
azure	лазурный
baa	блеяние (bléjanije) (n)
baa	блеять (bléjat’)
baa	бэ-бэ (be-be)
baboon	бабуин /babuín/ (m)
babysitter	приходящая няня (priχodjáčšaja njánja)
back	ездить/ехать назад (jézdit'/jéhat' nazád)
back	зад (zad) (m)
back	зад (zad) (m)
back	зад (zad) (m)
back	задний, -яя ((f)), -ее ((n)), -ие ((pl)) (zadnij)
back	поддерживать (poddérzivat' [impf.])
back	спина (spiná) (f)
back to the drawing board	Начать с нуля
backbone	позвоночник (pozvonóčnik) (m) (1), хребет (χr'eb'ét) (m) (1,2)
backgammon	нарды (nard'i) (f)
bacon	бекон (b'ekón) (m)
bacteriology	бактериология
bad	плохой (ploχój)
bad	плохой (ploχój)
bad	плохой (ploχój)
bad	плохой (ploχój), дурной (durnój)
bad	плохой (ploχój), злой (zloj), подлый (pódlyj)
bad	плохой (ploχój), неподходящий (n'epodχod'áš'ij)
bad	плохой (ploχój), неприятный (n'eprijátnyj)
badger	барсук (barsuk) (m)
bag	сумка (súmka) (f), мешок (mešók) (m)
bagel	бублик (bublik)
bagpipes	волынка (volýnka) (f)
bake	испечь (ispěčʹ)
baker	хлебопёк (χl'ebop'ók) (m), пекарь (p'ékar') (m)
bakers dozen	Чёртова дюжина
bakery	хлебопекарня (f) (khlebopekarnya)
baklava	пахлава (pakhlavá) (f)
balalaika	балалайка
balance	весы (vesý) (m) (p)
balcony	балкон (m)
bald	лысый (lýsyj)
bald	лысый (lýsyj), плешивый (pl'ešívyj)
ball	бал (bal) (m)
ball	клубок (klubók) (m)
ball	мудёж (mudjóž) (m), мудежа (mudežá) (p)
ball	мяч (mjač) (m) "(mostly for balls filled with air but there are exclusions such as baseball, golf ball and others)", шар (šar) (m) "(for solid balls)"
ball	подушечка (f) (podúšečka)
ball	сфера (sféra) (f)
ball	шар (šar) (m) "(usually solid)", сфера (sféra) (f) "(usually hollow)"
ball	ядрить (jadrít’)
ball	ядро (jadró) (n)
ball	яйцо (jajtsó) (n), яйца (jájtsa) (p)
ballad	баллада
ballerina	балерина (f)
balloon	аэростат (aerostát) (m)
balloon	баллон (ballón) (m)
balloon	воздушный шар (vozdúšnyj šar) (m)
balloon	воздушный шар (vozdúšnyj šar) (m)
balmy	нежный, ароматный, благоуханный
bamboo	бамбук (m)
bamboo	бамбук (m)
bamboo	бамбуковый
banal	банальный (banál’nyj), избитый (izbítyj)
banana	банан (banán) (m)
banana	банан (banán) (m)
banana	банановый (banánovyj)
banana republic	банановая республика (f)
bandage	бинт (bint) (m), бандаж (bandáž) (m)
bangs	чёлка (čólka) (f)
bank	банк (m)
bank	банк (m)
bank	берег (béreg) (m)
bank	класть в банк (klast’ v bank)
banker	банкир (bankír) (m)
banker	банкомёт (bankom'ót) (m)
bankruptcy	банкротство (n)
banner	баннер (bánner) (m)
banner	знамя (známja) (n)
banner	знамя (známja) (n), стяг (stjag) (m)
banner	рекордный (rekórdnyj)
banner	транспарант (transparánt) (m)
banner	транспарант (transparánt) (m)
baptism	крещение (kr'eš'énije) (n)
baptism of fire	боевое крещение (battle baptism)
barbed wire	колючая проволока (kol'účaja próvoloka) (f)
barber	брадобрей (bradobr'éj) (m), цирюльник (cir'úl'nik) (m)
barbiturate	барбитурат (m)
barefoot	босиком (bosikóm)
barefoot	босой (bosój)
barge	баржа (bárža) (f)
bark	кора (korá) (f)
bark	лай (laj) (m)
bark	лаять (lájat')
bark	ободрать/обдирать (obodrát'/obdirát')
bark	ободрать/обдирать кору (obodrát'/obdirát' korú)
barking dogs seldom bite	лающая собака не кусает
barley	ячмень (jačmén’) (m)
barn owl	сипуха обыкновенная (sipúχa obyknovénnaja) (f)
barnacle	морская уточка /morskája útočka/ (f)
barometer	барометр
baron	барон
barracuda	барракуда /barrakúda/ (f), морская щука /morskája ščúka/ (f)
baseball	бейсбол (x-lit: beĭsbol)
basilica	базилика (bazílika) (f)
basin	таз (1), бассейн (2, 3)
basket	корзина (f), лукошко (n) (small basket made of tree bark)
basking shark	гигантская акула (gigántskaja akúla) (f)
bass	бас /bas/ (m)
bass	бас /bas/ (m)
bass	бас /bas/ (m)
bass	бас /bas/ (m)
bass	басовый /básovyj/
bass	басовый ключ /básovyj kl'uč/ (m)
bassoon	фагот (fagót) (m)
bat	бита (bitá) (f)
bat	летучая мышь (letúčaja myš’) (f)
bath	ванна (vánna) (f)
bath	ванная (vánnaja) (f)
bath	купание (kupánije) (n), мытьё (myt'jó) (n)
bathroom	ванная (vánnaja) (f), ванная комната (vánnaja kómnata) (f)
bathroom	туалет (tualét) (m), уборная (ubórnaja) (f)
battering ram	таран (tarán) (m)
battle	битва (bítva) (f); бой (boj) (m); сражение (srazhénie) (n); борьба (bar'bá) (f)
battle-ax	боевой топор /bojevój topór/ (m), секира /s'ekíra/ (f)
bay	залив (m)
bay	лавр (m)
bay	лавровый лист (m) (literally bay leaf)
bay	отсек (m)
bay leaf	лавровый лист (m)
bayonet	штык (štýk) (m)
be	быть (byt’) (intransitive verb 1-2, auxilary verb 1) (usually omitted), являться (javlját’sja) (copular verb 1), существовать (suščestvovát’) (intransitive verb 3)
be all ears	Обратиться в слух
beach	пляж (plyaž) (m)
beach volleyball	пляжный волейбол (m)
bean	боб (bob) (m), бобы (bóby) (p); фасоль (fasól’) (f), фасоли (fasóli) (p)
bear	выносить/вынести (vynosít'/výn'esti)
bear	медведь (medved') (m)
bear	медведь (medved') (m)
bear	медведь (medved') (m), мишка (míška) (m)
bear	направляться/направиться (napravl'át's'a/naprávit's'a)
bear	носить (nosít')
bear	носить (nosít'), нести (n'estí)
bear	рожать/родить (rožát'/rodít')
bear	рождать/родить (roždát'/rodít')
bear cub	медвежонок (medvežónok) (m)
beard	борода (borodá) (f)
bearded	бородатый (borodátyj)
beast	монстр (m), зверь (m), чудище (n), чудовище (n)
beast	монстр (m), зверь (m), чудовище (n)
beat up	избить/избивать (izbít/izbivát')
beat up	лавировать (lavírovat')
beater	загонщик (m)
beautiful	красивый,прекрасный
beautify	украшать (ukrashat')
beauty	красота * (f)
beaver	бобр (bobr) (m)
because	потому что (potomú što), так как (ták kak), поскольку (poskól’ku), ведь (ved’), ибо (íbo)
because of that	поэтому
become	стать pf, становиться impf
bed	банка (bánka) (f)
bed	дно (dno) (n) ("lake, sea"), русло (rúslo) (n) ("river")
bed	клумба (klúmba) (f)
bed	кровать (krovat’) (f), постель (postél’) (f)
bed	пласт (plast) (m)
bedbug	постельный клоп /post'él'nyj klop/ (m)
bedroom	спальня (spál’nja) (f)
bee	пчела (f)
bee-eater	щурка /ščúrka/ (f)
beech	бук (buk) (m)
beef	говядина(govyadina) (f)
beefsteak	бифштекс) (m)
beehive	муравейник (murav'éjnik) (m)
beehive	рой (roj) (m)
beehive	улей (úl'ej) (m)
beekeeper	пасечник (pás'ečnik) (m), пчеловод (pčelovód) (m)
beer	пиво (pivo) (n)
beeswax	пчелиный воск (pčelínyj vosk) (m)
beetle	жук (žuk) (m)
before	до /do/, прежде /pr'éžd'e/
before	заранее (zarán'eje)
before	перед /p'ér'ed/
before	перед /p'ér'ed/
before	раньше (rán'še)
beg	просить/попросить (prosít'/poprosít'), попрошайничать (poprošájničat') "of a beggar", побираться (pobir'át's'a)
beg	умолять (umol'át')
begin	начать (načať)
behavior	поведение (povedénije) (n)
behaviour	поведение (povedénije) (n)
behead	обезглавливать
behemoth	Бегемот
behind	сзади "(szádi)"
behind bars	за решёткой
behind the scenes	[за кадром
being	(живое) существо
being	существование
believe	верить (verit')
belittle	умалять, преуменьшать
bell	колокол (m) (kólokol)
bells and whistles	[прибамбасы,навороты
belly	живот (m), брюхо (n) "rude", пузо (n) "rude"
belly dance	танец живота
below the belt	[ниже пояса
belt	пояс (pójas) (m)
belt	пояс (pójas) (m)
belt	пояс (pójas) (m)
belt	ремень (remén’) (m)
belt	удар (udár) (m)
beluga	белуга (b'elúga) (f)
beluga	белуха (b'elúχa) (f)
ben	моринга (morínga) (f)
ben	мориндовое масло (morindóvoje máslo) (n)
bench	скамейка (skaméjka), скамья (skam'já) (f)
bend over backwards	лезть из кожи вон
benefactive case	бенефактивный пaдeж (benefaktívnyj padéž) (m)
berry	ягода /yagoda/
beryllium	бериллий (beríllij) (m)
beside oneself	вне себя (vne sebjá)
besides	кстати (kstáti)
best	лучший, лучшая, лучшее, лучшие m/f/n/pl
best man	шафер (šáf'er) (m)
bestiality	скотоложество (n)
beta	бета bɛ́ta)) (f)
beta particle	бета-частица (béta-častíca)
betta	бойцовая рыбка (bojcóvaja rýbka) (f)
better	лучше (lúčše)
between	между (méždu), посреди (posredí)
between	среди (sredí)
between a rock and a hard place	между молотом и наковальней,между двух огней
beverage	напиток (napitok) (m)
bezel	ободок (obodók) (m)
biathlon	биатлон
bible	библия (bíblija) (f)
biblical	библейский (m) библейская (f)
bibliography	библиография
bicker	переругиваться, препираться
bicycle	велосипед (velosipéd) (m)
bidet	биде (bidэ́)) (n)
bifurcate	раздваивать
big	большой (bol’šój) (m)
big	большой (bol’šój) (m)
big shot	большая шишка
bill	вексель (v'éks'el’) (m), расписка /raspíska/ (f)
bill	законопроект (zakonoprojékt) (m), билль (bill’) "in Britain" (m)
